CODGEO,DECESD20
01001,7
01002,0
01004,150
01005,14
01006,1
01007,13
01008,5
01009,1
01010,4
01011,2
01012,5
01013,3
01014,29
01015,14
01016,6
01017,5
01019,1
01021,6
01022,12
01023,0
01024,18
01025,27
01026,11
01027,8
01028,6
01029,5
01030,4
01031,22
01032,50
01033,191
01034,166
01035,2
01036,17
01037,3
01038,4
01039,3
01040,4
01041,9
01042,0
01043,25
01044,3
01045,2
01046,6
01047,4
01049,16
01050,3
01051,1
01052,2
01053,518
01054,2
01056,4
01057,5
01058,8
01060,6
01061,8
01062,6
01063,2
01064,6
01065,9
01066,0
01067,4
01068,16
01069,9
01071,14
01072,36
01073,7
01074,41
01075,4
01076,1
01077,1
01078,28
01079,22
01080,5
01081,9
01082,5
01083,6
01084,3
01085,1
01087,1
01088,5
01089,9
01090,5
01092,9
01093,137
01094,12
01095,4
01096,6
01098,4
01099,14
01100,4
01101,1
01102,7
01103,4
01104,3
01105,8
01106,2
01107,2
01108,41
01109,6
01110,1
01111,2
01112,3
01113,6
01114,32
01115,5
01116,4
01117,0
01118,20
01121,0
01123,12
01124,5
01125,5
01127,2
01128,3
01129,0
01130,12
01133,5
01134,6
01135,6
01136,7
01138,25
01139,4
01140,13
01141,7
01142,22
01143,51
01145,10
01146,3
01147,3
01148,13
01149,6
01150,1
01151,12
01152,7
01153,5
01155,1
01156,3
01157,12
01158,1
01159,42
01160,31
01162,1
01163,20
01165,7
01166,12
01167,3
01169,3
01170,2
01171,7
01173,83
01174,0
01175,4
01177,1
01179,20
01180,3
01181,21
01183,9
01184,6
01185,90
01187,5
01188,8
01189,3
01190,1
01191,3
01192,16
01193,2
01194,74
01195,34
01196,4
01197,2
01198,1
01199,26
01200,3
01202,86
01203,6
01204,3
01206,2
01207,0
01208,3
01209,6
01210,3
01211,10
01212,7
01213,8
01214,2
01215,1
01216,24
01219,1
01224,17
01225,2
01227,4
01228,5
01229,11
01230,2
01231,15
01232,14
01233,4
01234,0
01235,5
01236,7
01237,6
01238,13
01239,6
01240,6
01241,6
01242,1
01243,7
01244,77
01245,8
01246,16
01247,4
01248,10
01249,89
01250,8
01252,5
01254,10
01255,2
01257,4
01258,8
01259,1
01260,0
01261,2
01262,80
01263,47
01264,12
01265,29
01266,49
01267,9
01268,4
01269,66
01272,26
01273,8
01274,2
01275,12
01276,10
01277,0
01279,0
01280,4
01281,30
01282,1
01283,226
01284,5
01285,8
01286,7
01288,9
01289,100
01290,12
01291,4
01293,2
01294,6
01295,1
01296,2
01297,1
01298,1
01299,4
01301,21
01302,2
01303,16
01304,55
01305,54
01306,44
01307,7
01308,7
01309,0
01310,5
01311,1
01313,32
01314,13
01317,3
01318,5
01319,3
01320,37
01321,4
01322,93
01323,8
01325,3
01328,23
01329,2
01330,4
01331,2
01332,1
01333,34
01334,2
01335,5
01336,8
01337,11
01338,7
01339,41
01342,2
01343,14
01344,53
01345,18
01346,6
01347,9
01348,21
01349,0
01350,26
01351,9
01352,5
01353,1
01354,27
01355,3
01356,1
01357,2
01358,6
01359,1
01360,10
01361,5
01362,4
01363,12
01364,5
01365,14
01366,6
01367,9
01368,5
01369,9
01370,41
01371,4
01372,2
01373,10
01374,14
01375,4
01376,37
01378,13
01379,6
01380,13
01381,3
01382,3
01383,15
01384,49
01385,6
01386,5
01387,2
01388,35
01389,24
01390,30
01391,2
01392,3
01393,1
01396,11
01397,3
01398,4
01399,8
01400,0
01401,7
01402,11
01403,15
01404,3
01405,2
01406,1
01407,12
01408,1
01410,0
01411,0
01412,5
01415,10
01416,30
01418,4
01419,19
01420,49
01421,7
01422,5
01423,1
01424,9
01425,1
01426,15
01427,37
01428,0
01429,0
01430,2
01431,6
01432,1
01433,2
01434,4
01435,8
01436,5
01437,0
01439,1
01441,3
01443,60
01444,9
01445,6
01446,7
01447,34
01448,2
01449,2
01450,20
01451,57
01452,6
01453,9
01454,4
01456,2
01457,30
02001,4
02002,6
02003,10
02004,4
02005,3
02006,6
02007,2
02008,1
02009,7
02010,0
02011,7
02012,2
02013,7
02014,3
02015,2
02016,1
02017,1
02018,23
02019,4
02020,6
02021,3
02022,3
02023,2
02024,1
02025,3
02027,3
02028,20
02029,4
02030,6
02031,8
02032,4
02033,1
02034,0
02035,2
02036,1
02037,8
02038,3
02039,1
02040,0
02041,8
02042,5
02043,2
02044,0
02046,4
02047,0
02048,0
02049,8
02050,2
02051,7
02052,3
02053,6
02054,2
02055,1
02056,3
02057,45
02058,4
02059,23
02060,2
02061,2
02062,0
02063,3
02064,97
02065,3
02066,1
02067,2
02068,2
02069,3
02070,6
02071,3
02072,2
02073,3
02074,7
02075,1
02076,0
02077,2
02078,0
02079,2
02080,4
02081,3
02082,1
02083,5
02084,2
02085,6
02086,8
02087,0
02088,2
02089,9
02090,2
02091,0
02093,11
02094,2
02095,114
02096,1
02097,2
02098,2
02099,2
02100,1
02101,2
02102,2
02103,19
02104,1
02105,2
02106,20
02107,0
02108,0
02109,4
02110,45
02111,2
02112,3
02114,48
02115,1
02116,0
02117,1
02118,0
02119,1
02120,3
02121,5
02122,0
02123,4
02124,7
02125,1
02126,6
02127,3
02128,10
02129,0
02130,3
02131,15
02132,1
02133,7
02134,9
02135,21
02136,0
02137,1
02138,0
02139,1
02140,6
02141,33
02142,5
02143,3
02144,2
02145,6
02146,0
02148,3
02149,0
02150,1
02151,0
02152,0
02153,7
02154,2
02155,0
02156,0
02157,7
02158,0
02159,3
02160,6
02162,3
02163,44
02164,5
02165,18
02166,1
02167,4
02168,195
02169,2
02170,1
02171,0
02172,1
02173,150
02174,4
02175,0
02176,2
02177,1
02178,0
02179,6
02180,3
02181,1
02182,1
02183,2
02184,23
02185,5
02186,34
02187,7
02188,5
02189,4
02190,4
02191,8
02192,0
02193,0
02194,1
02195,10
02196,3
02197,5
02198,3
02199,7
02200,1
02201,49
02203,4
02204,0
02205,2
02206,0
02207,3
02208,1
02209,15
02210,0
02211,5
02212,9
02213,5
02214,1
02215,24
02216,3
02217,39
02218,2
02219,5
02220,4
02221,0
02222,0
02223,1
02224,4
02225,0
02226,28
02227,2
02228,14
02229,0
02230,1
02231,5
02232,7
02233,0
02234,0
02235,1
02236,6
02237,46
02238,34
02239,13
02240,1
02241,3
02242,5
02243,60
02244,0
02245,15
02246,8
02248,0
02249,0
02250,1
02251,0
02252,1
02253,3
02254,0
02255,2
02256,1
02257,2
02258,5
02259,1
02260,8
02261,7
02262,2
02263,0
02264,11
02265,2
02266,1
02267,3
02268,6
02269,2
02270,0
02271,0
02272,2
02273,5
02274,1
02275,2
02276,1
02277,3
02278,0
02279,0
02280,3
02281,1
02282,2
02283,1
02284,2
02286,9
02287,16
02288,4
02289,4
02290,26
02291,4
02292,18
02293,3
02294,1
02295,14
02296,40
02297,1
02298,21
02299,0
02302,1
02303,4
02304,95
02305,55
02306,3
02307,44
02308,2
02309,2
02310,1
02311,1
02312,11
02313,6
02315,30
02316,2
02317,0
02318,16
02319,4
02320,0
02321,6
02322,5
02323,2
02324,2
02326,9
02327,2
02328,1
02329,4
02330,4
02331,1
02332,1
02333,0
02334,26
02335,3
02336,6
02337,0
02338,3
02339,1
02340,67
02341,3
02342,2
02343,0
02345,1
02346,3
02347,6
02349,0
02350,0
02351,1
02352,7
02353,7
02354,1
02355,8
02356,3
02357,1
02358,4
02359,8
02360,22
02361,90
02362,1
02363,3
02364,5
02366,0
02367,1
02368,1
02369,2
02370,5
02371,18
02372,3
02373,0
02374,4
02375,2
02376,5
02377,0
02378,2
02379,4
02380,0
02381,153
02382,7
02383,13
02384,0
02385,2
02386,1
02387,8
02388,5
02389,11
02390,1
02391,0
02392,2
02393,2
02395,1
02396,1
02397,13
02398,2
02399,5
02400,1
02401,0
02402,1
02403,4
02404,1
02405,5
02406,2
02407,0
02408,286
