Fichier Localisé Social et Fiscal (FiLoSoFi) - Année 2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mise en ligne le 25/04/2019       Géographie au 01/01/2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
©Insee       Source(s) : Insee-DGFIP-Cnaf-Cnav-CCMSA, Fichier localisé social et fiscal.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Code géographique;Libellé géographique;Nombre de ménages fiscaux;Nombre de personnes dans les ménages fiscaux;Nbre d'unités de consommation dans les ménages fiscaux;Part des ménages fiscaux imposés (%);1er quartile (€);Médiane (€);3e quartile (€);Ecart interquartile (€);1er décile (€);2e décile (€);3e décile  (€);4e décile (€) ;6e décile (€);7e décile (€);8e décile (€) ;9e décile (€);Rapport interdécile D9/D1;S80/S20;Indice de Gini;Part des salaires et traitements hors chômage (%);Part des indemnités chômage (%);Part des revenus d'activités non salariées (%);Part des pensions, retraites et rentes (%);Part des autres revenus (%);;;;;
CODGEO;LIBGEO;NBMEN14;NBPERS14;NBUC14;PMIMP14;Q114;Q214;Q314;Q3_Q1;D114;D214;D314;D414;D614;D714;D814;D914;RD;S80S2014;GI14;PTSA14;PCHO14;PBEN14;PPEN14;PAUT14;;;;;
01001;L'Abergement-Clémenciat;304;800;522.7;;;22028.0;;;;;;;;;;;;;;;;;;;;;;;
01002;L'Abergement-de-Varey;100;236;158.3;;;21850.0;;;;;;;;;;;;;;;;;;;;;;;
01004;Ambérieu-en-Bugey;6091;13672;9368.5;57;12402.0;19446.0;27108.0;14706.0;6512.0;10598.0;13976.0;16692.0;22240.0;25258.0;29130.0;35708.0;5.5;7.3;0.3;61.6;3.2;3.6;26.6;5.0;;;;;
01005;Ambérieux-en-Dombes;604;1663;1069.1;;;23158.0;;;;;;;;;;;;;;;;;;;;;;;
01006;Ambléon;48;102;72.8;;;22446.0;;;;;;;;;;;;;;;;;;;;;;;
01007;Ambronay;1030;2635;1722.0;62;16020.0;21426.0;29026.0;13006.0;10650.0;14964.0;17473.0;19280.0;23765.0;26492.0;31254.0;37556.0;3.5;4.2;0.3;66.0;2.6;2.2;25.3;3.9;;;;;
01008;Ambutrix;297;737;491.2;;;24540.0;;;;;;;;;;;;;;;;;;;;;;;
01009;Andert-et-Condon;141;345;231.1;;;21956.0;;;;;;;;;;;;;;;;;;;;;;;
01010;Anglefort;434;1028;687.1;;;21694.0;;;;;;;;;;;;;;;;;;;;;;;
